,Open,Close
0,15323.9502,15337.84961
1,15421.2002,15435.65039
2,15437.75,15582.79981
3,15629.65039,15574.84961
4,15520.34961,15576.2002
5,,15690.34961
6,15712.5,15670.25
7,15725.09961,15751.65039
8,15773.90039,15740.09961
9,15766.29981,15635.34961
10,15692.09961,15737.75
11,15796.4502,15799.34961
12,15791.40039,15811.84961
13,15866.9502,15869.25
14,15847.5,15767.54981
15,15648.29981,15691.40039
16,15756.5,15683.34961
17,15525.84961,15746.5
18,15840.5,15772.75
19,,15686.9502
20,15737.29981,15790.4502
21,15839.34961,15860.34961
22,15915.34961,15814.7002
23,15807.5,15748.4502
24,15776.90039,15721.5
25,15755.04981,15680.0
26,15705.84961,15722.2002
27,15793.40039,15834.34961
28,15813.75,15818.25
29,15819.59961,15879.65039
30,15855.40039,15727.90039
31,15688.25,15689.79981
32,15766.79981,15692.59961
33,15794.0,15812.34961
34,15808.7002,15853.9502
35,15872.15039,15924.2002
36,,15923.40039
37,15754.5,15752.40039
38,15703.9502,15632.09961
39,15736.59961,15824.04981
40,15856.79981,15856.04981
41,15849.29981,15824.4502
42,15860.5,15746.4502
43,15761.54981,15709.40039
44,15762.7002,15778.4502
45,15800.59961,15763.04981
46,15874.90039,15885.15039
47,15951.54981,16130.75
48,,16258.79981
49,16288.9502,16294.59961
50,16304.40039,16238.2002
51,16281.34961,16258.25
52,16274.79981,16280.09961
53,16327.29981,16282.25
54,16303.65039,16364.40039
55,16385.69922,16529.09961
56,16518.40039,16563.05078
57,16545.25,16614.59961
58,16691.94922,16568.84961
59,16382.5,16450.5
60,16592.25,16496.44922
61,16561.40039,16624.59961
62,16654.0,16634.65039
63,16627.94922,16636.90039
64,16642.55078,16705.19922
65,16775.84961,16931.05078
66,16947.5,17132.19922
67,17185.59961,17076.25
68,17095.40039,17234.15039
69,17262.44922,17323.59961
70,17399.34961,17377.80078
71,17401.55078,17362.09961
72,17375.75,17353.5
73,17312.84961,17369.25
74,17363.55078,17355.30078
75,17420.34961,17380.0
76,17387.65039,17519.44922
77,17539.19922,17629.5
78,17709.65039,17585.15039
79,17443.84961,17396.90039
80,17450.5,17562.0
81,17580.90039,17546.65039
82,17670.84961,17822.94922
83,17897.44922,17853.19922
84,17932.19922,17855.09961
85,17906.44922,17748.59961
86,17657.94922,17711.30078
87,17718.90039,17618.15039
88,17531.90039,17532.05078
89,17615.55078,17691.25
90,17661.34961,17822.30078
91,17861.5,17646.0
92,17810.55078,17790.34961
93,17886.84961,17895.19922
94,17867.55078,17945.94922
95,17915.80078,17991.94922
96,18097.84961,18161.75
97,18272.84961,18338.55078
98,18500.09961,18477.05078
99,18602.34961,18418.75
100,18439.90039,18266.59961
101,18382.69922,18178.09961
102,18230.69922,18114.90039
103,18229.5,18125.40039
104,18154.5,18268.40039
105,18295.84961,18210.94922
106,18187.65039,17857.25
107,17833.05078,17671.65039
108,17783.15039,17929.65039
109,17970.90039,17888.94922
110,17947.94922,17829.19922
111,17935.05078,17916.80078
112,18040.19922,18068.55078
113,18084.34961,18044.25
114,17973.44922,18017.19922
115,17967.44922,17873.59961
116,17977.59961,18102.75
117,18140.94922,18109.44922
118,18127.05078,17999.19922
119,17939.34961,17898.65039
120,17890.55078,17764.80078
121,17796.25,17416.55078
122,17281.75,17503.34961
123,17550.05078,17415.05078
124,17417.30078,17536.25
125,17338.75,17026.44922
126,17055.80078,17053.94922
127,17051.15039,16983.19922
128,17104.40039,17166.90039
129,17183.19922,17401.65039
130,17424.90039,17196.69922
131,17209.05078,16912.25
132,17044.09961,17176.69922
133,17315.25,17469.75
134,17524.40039,17516.84961
135,17476.05078,17511.30078
136,17619.09961,17368.25
137,17283.19922,17324.90039
138,17323.65039,17221.40039
139,17373.0,17248.40039
140,17276.0,16985.19922
141,16824.25,16614.19922
142,16773.15039,16770.84961
143,16865.55078,16955.44922
144,17066.80078,17072.59961
145,17149.5,17003.75
146,16937.75,17086.25
147,17177.59961,17233.25
148,17220.09961,17213.59961
149,17201.44922,17203.94922
150,17244.5,17354.05078
151,17387.15039,17625.69922
152,17681.40039,17805.25
153,17820.09961,17925.25
154,17768.5,17745.90039
155,17797.59961,17812.69922
156,17913.30078,18003.30078
157,17997.75,18055.75
158,18170.40039,18212.34961
159,18257.0,18257.80078
160,18185.0,18255.75
161,18235.65039,18308.09961
162,18337.19922,18113.05078
163,18129.19922,17938.40039
164,17921.0,17757.0
165,17613.69922,17617.15039
166,17575.15039,17149.09961
167,17001.55078,17277.94922
168,17062.0,17110.15039
169,17208.30078,17101.94922
170,17301.05078,17339.84961
171,17529.44922,17576.84961
172,17706.19922,17780.0
173,17767.75,17560.19922
174,17590.19922,17516.30078
175,17456.30078,17213.59961
176,17279.84961,17266.75
177,17370.09961,17463.80078
178,17554.09961,17605.84961
179,17451.0,17374.75
180,17076.15039,16842.80078
181,16933.25,17352.44922
182,17408.44922,17322.19922
183,17396.55078,17304.59961
184,17236.05078,17276.30078
185,17192.25,17206.65039
186,16847.94922,17092.19922
187,17194.5,17063.25
188,16548.90039,16247.9502
189,16515.65039,16658.40039
190,16481.59961,16793.90039
191,16593.09961,16605.94922
192,16723.19922,16498.05078
193,16339.4502,16245.34961
194,15867.9502,15863.15039
195,15747.75,16013.4502
196,16078.0,16345.34961
197,16757.09961,16594.90039
198,16528.80078,16630.44922
199,16633.69922,16871.30078
200,16900.65039,16663.0
201,16876.65039,16975.34961
202,17202.90039,17287.05078
203,17329.5,17117.59961
204,17120.40039,17315.5
205,17405.05078,17245.65039
206,17094.94922,17222.75
207,17289.0,17153.0
208,17181.84961,17222.0
209,17297.19922,17325.30078
210,17468.15039,17498.25
211,17519.19922,17464.75
212,17436.90039,17670.44922
213,17809.09961,18053.40039
214,18080.59961,17957.40039
215,17842.75,17807.65039
216,17723.30078,17639.55078
217,17698.15039,17784.34961
218,17740.90039,17674.94922
219,17584.84961,17530.30078
220,17599.90039,17475.65039
221,17183.44922,17173.65039
222,17258.94922,16958.65039
223,17045.25,17136.55078
224,17234.59961,17392.59961
225,17242.75,17171.94922
226,17009.05078,16953.94922
227,17121.30078,17200.80078
228,17073.34961,17038.40039
229,17189.5,17245.05078
230,17329.25,17102.55078
231,16924.44922,17069.09961
232,17096.59961,16677.59961
233,16854.75,16682.65039
234,16415.55078,16411.25
235,16227.7002,16301.84961
236,16248.90039,16240.04981
237,16270.04981,16167.09961
238,16021.09961,15808.0
239,15977.0,15782.15039
240,15845.09961,15842.29981
241,15912.59961,16259.29981
242,16318.15039,16240.29981
243,15917.40039,15809.40039
244,16043.79981,16266.15039
245,16290.9502,16214.7002
246,16225.54981,16125.15039
247,16196.34961,16025.79981
248,16105.0,16170.15039
